Timestep,Probs
1,"[0.20967741935483855, 0.16129032258064505, 0.2338709677419353, 0.1854838709677418, 0.20967741935483855]"
2,"[0.029304682732251997, 0.3267389820448825, 0.13919446859221563, 0.19706974384766104, 0.3076921227829893]"
3,"[0.01327193873223909, 0.06653222197388617, 0.25929604453802724, 0.11161833375932803, 0.5492814609965191]"
4,"[0.0011333554581182635, 0.020022352489839315, 0.2825851380901439, 0.023422412842620366, 0.672836741119279]"
5,"[0.006592857778928536, 0.2548098536861419, 0.22091027496440555, 0.02523489103593092, 0.4924521225345928]"
6,"[0.0013020239517596802, 0.08594227288874888, 0.044288288581873496, 0.45177557530326573, 0.41669183927435055]"
7,"[0.00028903617425837954, 0.000867924847518891, 1.0350550984599404e-7, 0.6096214346127055, 0.3892215008600089]"
8,"[0.0006843177830076468, 0.0014066340073138296, 4.61066874985382e-14, 0.7110359259868624, 0.28687312222277056]"
9,"[1.6440378512984685e-7, 0.0022172013632459145, 1.1060006486363807e-16, 0.6968814124907745, 0.3009012217421949]"
10,"[9.587955042072385e-8, 0.016984498528451592, 0.0056614956072335056, 0.569725748040108, 0.407628161944658]"
11,"[4.962778312543922e-16, 0.0017923444413430797, 0.0005974481471128692, 0.3845449767802088, 0.6130652306313361]"
12,"[1.6739658039095604e-24, 4.1111151360160076e-5, 0.0007808540746017271, 0.3159294067040329, 0.6832486280700052]"
13,"[1.4479174706597208e-11, 0.0002947891041862564, 0.0002947891941616512, 0.15095286902113406, 0.8484575526660407]"
14,"[6.855455791220183e-23, 6.01714787522337e-8, 2.0778161689075076e-5, 0.01720558488414647, 0.9827735767826831]"
15,"[2.8302047589557447e-34, 1.32020651670689e-13, 1.275145564695905e-6, 0.0027866784431506216, 0.9972120464111508]"
