(unstack s a)
(put-down s)
(unstack a h)
(stack a s)
(pick-up t)
(stack t a)
(unstack t a)
(stack t u)
(pick-up r)
(stack r a)
(unstack t u)
(stack t c)
(pick-up k)
(stack k u)
(unstack t c)
(put-down t)
(pick-up t)
(stack t r)
(unstack k u)
(stack k t)
(unstack k t)
(put-down k)
(pick-up c)
(stack c k)
(pick-up u)
(stack u t)
(unstack u t)
(stack u h)
(unstack c k)
(stack c t)
(unstack c t)
(stack c k)
(unstack t r)
(stack t c)
(unstack t c)
(put-down t)
(unstack u h)
(stack u c)
(unstack r a)
(put-down r)
(pick-up r)
(stack r u)
(pick-up t)
(stack t r)
(unstack a s)
(put-down a)
(pick-up s)
(stack s h)
(pick-up a)
(stack a s)
(unstack t r)
(put-down t)
(unstack r u)
(stack r a)
(pick-up t)
(stack t r)
