(unstack s a)
(put-down s)
(unstack a h)
(stack a c)
(pick-up h)
(stack h s)
(unstack h s)
(stack h a)
(pick-up t)
(stack t h)
(unstack t h)
(stack t s)
(pick-up r)
(stack r t)
(pick-up u)
(stack u r)
(unstack h a)
(stack h a)
(unstack u r)
(put-down u)
(unstack h a)
(stack h a)
(pick-up k)
(stack k r)
(unstack k r)
(stack k h)
(unstack k h)
(put-down k)
(unstack r t)
(put-down r)
(pick-up u)
(stack u r)
(unstack u r)
(stack u t)
(unstack h a)
(stack h u)
(unstack a c)
(stack a r)
(pick-up c)
(stack c k)
(unstack a r)
(stack a c)
(unstack h u)
(stack h a)
