(unstack s a)
(put-down s)
(unstack a h)
(stack a s)
(pick-up r)
(stack r k)
(pick-up c)
(put-down c)
(unstack r k)
(put-down r)
(pick-up u)
(stack u h)
(pick-up t)
(stack t c)
(unstack u h)
(stack u a)
(unstack u a)
(stack u k)
(pick-up r)
(stack r u)
(unstack t c)
(stack t h)
(unstack t h)
(put-down t)
(unstack r u)
(stack r t)
(unstack r t)
(stack r a)
(pick-up t)
(stack t r)
(unstack u k)
(stack u c)
(pick-up k)
(stack k t)
(unstack k t)
(put-down k)
(unstack u c)
(put-down u)
(pick-up c)
(stack c u)
(unstack c u)
(stack c k)
(pick-up u)
(put-down u)
(unstack c k)
(put-down c)
(unstack t r)
(stack t h)
(unstack t h)
(stack t r)
(pick-up c)
(stack c k)
(unstack c k)
(put-down c)
(pick-up k)
(stack k u)
(unstack t r)
(put-down t)
(unstack r a)
(stack r h)
(unstack r h)
(stack r a)
(pick-up c)
(stack c h)
(unstack c h)
(stack c k)
(unstack r a)
(stack r t)
(unstack r t)
(put-down r)
(unstack a s)
(stack a t)
(unstack a t)
(put-down a)
(pick-up s)
(stack s h)
(pick-up a)
(stack a s)
(pick-up r)
(stack r a)
(pick-up t)
(stack t r)
